,song_name,ir_type,motion_type,speech_xy,listener_azi,listener_x,listener_y,snr,locq,ssr,ms,smr,lri
23,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",115,1,2,13.105728226239933,0.7415657248220688,59.42546741776266,7.674368520968189,-3.7206466,-0.25222254
24,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",120,1,2,12.671946262996475,0.7158366389861495,58.94599257043296,7.995914497979335,-4.2237353,-0.24265236
25,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",125,1,2,13.188017720367206,0.7170876624221669,57.63017881799327,8.2150972291316,-4.9503365,-0.23487097
26,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",130,1,2,13.980786687405004,0.7258622763901443,57.83364081782288,8.489199809268802,-5.7562847,-0.2260113
27,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",135,1,2,14.711253489724104,0.7373754854013955,58.729257683319034,8.79969615893894,-6.592455,-0.21502979
28,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",140,1,2,15.37694472872045,0.7499333484248835,58.51284826021236,9.111583226314655,-7.4154973,-0.20200421
29,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",145,1,2,15.930065216510627,0.7632993518313597,59.02803096574652,9.416788696725948,-8.188696,-0.18921727
30,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",150,1,2,16.133763965845493,0.770107951784727,59.15890696986675,9.505602866386514,-8.781011,-0.16376951
31,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",155,1,2,16.04789648547843,0.7658619370181949,59.17993423616566,9.433932017676717,-9.191929,-0.1446842
32,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",160,1,2,15.526626966540974,0.752966401175588,59.13285150666306,9.042942688682329,-9.445792,-0.1228953
33,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",165,1,2,14.420706932409828,0.719774790244055,58.7830199781057,9.509173564328867,-9.689097,-0.09328668
34,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",170,1,2,14.723060405031347,0.7189029593125547,59.1346424424969,9.87807797529497,-9.73622,-0.05969077
35,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",175,1,2,15.142303075911695,0.7225999961822318,60.77280131134916,10.241077211272135,-9.546558,-0.025143504
36,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",180,1,2,15.372917657115497,0.7341769503939107,62.312862431431455,10.533799801952927,-9.177835,0.009111544
37,Skelpolu - Together Alone,BRIR,rotational,"(0, -2)",185,1,2,15.450031191761529,0.7464816407541516,61.52442613200495,10.731605852482417,-8.680363,0.041546088
