,song_name,speech_name,motion_type,ir_type,speech_xy,data_point,listener_x,listener_y,listener_azi,snr,locq
46,Matthew Entwistle - Dont You Ever,clnsp52,rotational,BRIR,"(0, -2)",D3,1,2,200,15.55365571,0.670572531
47,Matthew Entwistle - Dont You Ever,clnsp52,rotational,BRIR,"(0, -2)",D4,1,2,20,16.11004441,0.717217578
48,Matthew Entwistle - Dont You Ever,clnsp573,rotational,BRIR,"(2, 0)",,,,,inf,1
49,Matthew Entwistle - Dont You Ever,clnsp573,rotational,BRIR,"(2, 0)",,,,,0,0.306504593
50,Matthew Entwistle - Dont You Ever,clnsp573,rotational,BRIR,"(2, 0)",D1,-1,2,255,14.2960149,0.717348764
51,Matthew Entwistle - Dont You Ever,clnsp573,rotational,BRIR,"(2, 0)",D2,-1,2,50,13.21644093,0.692396143
52,Matthew Entwistle - Dont You Ever,clnsp573,rotational,BRIR,"(2, 0)",D3,-1,2,195,14.10592072,0.698223023
53,Matthew Entwistle - Dont You Ever,clnsp573,rotational,BRIR,"(2, 0)",D4,-1,2,15,13.24030753,0.735618237
54,Skelpolu - Together Alone,clnsp242,rotational,BRIR,"(0, -2)",,,,,inf,1
55,Skelpolu - Together Alone,clnsp242,rotational,BRIR,"(0, -2)",,,,,0,0.373699136
56,Skelpolu - Together Alone,clnsp242,rotational,BRIR,"(0, -2)",D1,1,2,120,12.67194626,0.715836639
57,Skelpolu - Together Alone,clnsp242,rotational,BRIR,"(0, -2)",D2,1,2,300,14.30165088,0.742224132
58,Skelpolu - Together Alone,clnsp242,rotational,BRIR,"(0, -2)",D3,1,2,205,13.52685191,0.753213359
59,Skelpolu - Together Alone,clnsp242,rotational,BRIR,"(0, -2)",D4,1,2,25,14.40971759,0.79015957
60,Skelpolu - Together Alone,clnsp1086,rotational,BRIR,"(2, 0)",,,,,inf,1
61,Skelpolu - Together Alone,clnsp1086,rotational,BRIR,"(2, 0)",,,,,0,0.338299118
62,Skelpolu - Together Alone,clnsp1086,rotational,BRIR,"(2, 0)",D1,-1,2,270,13.88173689,0.690320184
